n,k,seed,nodes,restarts,peak depth,solving time,conflicts,propagations,sb propagations,sb prop / all prop,scc propagations,scc prop / all prop,average conflict size,unit nogoods learned,average nogood length,average backtrack amount,average lbd,base time,sb time,scc time
20,3,520679358,34,0,7,0.0014729,27,3786,0,0.0,0,0.0,6.37037037037037,1,3.259259259259259,0.0,2.8518518518518516,0.0003329,0.0,0.0
20,3,5773094,20,0,7,0.0008056,14,2576,0,0.0,0,0.0,2.857142857142857,1,4.285714285714286,0.0,2.7857142857142856,5.8e-05,0.0,0.0
20,3,57901065,28,0,6,0.0008429,15,2892,0,0.0,0,0.0,3.4,3,2.7333333333333334,0.0,2.3333333333333335,7.32e-05,0.0,0.0
20,3,637364186,16,0,8,0.000245,5,1092,0,0.0,0,0.0,5.0,0,4.2,0.0,3.2,1.9200000000000003e-05,0.0,0.0
20,3,867834154,18,0,6,0.0005498,12,2123,0,0.0,0,0.0,3.1666666666666665,0,3.5,0.0,2.5833333333333335,4.3e-05,0.0,0.0
20,3,673733108,30,0,5,0.0003614,12,2078,0,0.0,0,0.0,3.6666666666666665,1,2.5,0.0,1.9166666666666667,3.6700000000000004e-05,0.0,0.0
20,3,176584313,31,0,8,0.0009105,19,3126,0,0.0,0,0.0,3.5789473684210527,1,3.526315789473684,0.0,2.5789473684210527,7.560000000000001e-05,0.0,0.0
20,3,957311380,73,0,6,0.0016953,55,8906,0,0.0,0,0.0,4.363636363636363,1,3.581818181818182,0.0,2.8181818181818183,0.0001382,0.0,0.0
20,3,20283782,25,0,6,0.0011308,21,5229,0,0.0,0,0.0,7.095238095238095,0,4.238095238095238,0.0,3.619047619047619,5.64e-05,0.0,0.0
20,3,132755503,14,0,5,0.0002804,7,1226,0,0.0,0,0.0,2.0,0,3.7142857142857144,0.0,2.2857142857142856,2.4800000000000003e-05,0.0,0.0
20,3,158975610,51,0,6,0.0008144,27,3765,0,0.0,0,0.0,5.185185185185185,3,2.888888888888889,0.0,2.5185185185185186,9.66e-05,0.0,0.0
20,3,535566417,36,0,6,0.0008116,25,3981,0,0.0,0,0.0,3.84,0,4.44,0.0,3.4,5.3e-05,0.0,0.0
20,3,112942966,9,0,7,0.0002484,4,961,0,0.0,0,0.0,6.0,0,4.25,0.0,4.25,2.2700000000000003e-05,0.0,0.0
20,3,143493306,28,0,6,0.0010959,22,4914,0,0.0,0,0.0,3.6363636363636362,0,4.0,0.0,3.1818181818181817,6.050000000000001e-05,0.0,0.0
20,3,78106899,25,0,6,0.0007567,19,3613,0,0.0,0,0.0,3.473684210526316,0,4.052631578947368,0.0,3.3157894736842106,5.380000000000001e-05,0.0,0.0
20,3,96399100,25,0,5,0.0005857,15,1920,0,0.0,0,0.0,3.066666666666667,2,3.0,0.0,2.2666666666666666,4.32e-05,0.0,0.0
20,3,750836739,74,0,8,0.0017856,53,9221,0,0.0,0,0.0,3.9622641509433962,2,4.716981132075472,0.0,3.1132075471698113,0.0001177,0.0,0.0
20,3,71323020,45,0,6,0.0014508,36,6088,0,0.0,0,0.0,3.611111111111111,3,2.9444444444444446,0.0,2.4444444444444446,0.00010800000000000001,0.0,0.0
20,3,693723963,22,0,6,0.0007718,13,3042,0,0.0,0,0.0,9.76923076923077,1,3.076923076923077,0.0,2.6923076923076925,5.2100000000000006e-05,0.0,0.0
20,3,892916841,33,0,7,0.0011728,22,3400,0,0.0,0,0.0,3.1363636363636362,1,4.7727272727272725,0.0,3.090909090909091,8.5e-05,0.0,0.0
20,3,213066403,29,0,4,0.0011818,26,4011,0,0.0,0,0.0,2.3461538461538463,1,4.461538461538462,0.0,2.6153846153846154,7.740000000000001e-05,0.0,0.0
